epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,27.234,0.74683,0.72976,1.28888,0.79565,0.48333,0.54589,0.26022,1.72622,2.11615,1.42482,2.64447e-05,2.64447e-05,2.64447e-05
70,27.7424,0.88341,1.11179,1.34354,0.79565,0.48333,0.54589,0.26022,1.72622,2.11615,1.42482,2.60207e-05,2.60207e-05,2.60207e-05
71,28.2134,0.69533,0.73724,1.16714,0.79565,0.48333,0.54589,0.26022,1.72622,2.11615,1.42482,2.55731e-05,2.55731e-05,2.55731e-05
72,28.6087,0.62241,0.98184,1.14983,0.82682,0.48333,0.57521,0.25194,1.83035,2.15174,1.47862,2.5102e-05,2.5102e-05,2.5102e-05
73,28.9854,0.49684,0.60335,1.0526,0.82682,0.48333,0.57521,0.25194,1.83035,2.15174,1.47862,2.46073e-05,2.46073e-05,2.46073e-05
74,29.3583,1.07375,1.79921,1.49642,0.82682,0.48333,0.57521,0.25194,1.83035,2.15174,1.47862,2.40891e-05,2.40891e-05,2.40891e-05
75,29.7515,0.96096,0.9041,1.25576,0.81337,0.48333,0.52357,0.24678,1.76262,2.14465,1.43893,2.35472e-05,2.35472e-05,2.35472e-05
76,30.136,1.02088,0.96949,1.38899,0.81337,0.48333,0.52357,0.24678,1.76262,2.14465,1.43893,2.29819e-05,2.29819e-05,2.29819e-05
77,30.5101,0.72523,0.65022,1.06464,0.81337,0.48333,0.52357,0.24678,1.76262,2.14465,1.43893,2.23929e-05,2.23929e-05,2.23929e-05
78,30.91,0.65754,1.0067,1.12152,0.81216,0.48333,0.52275,0.25454,1.7751,2.17105,1.44669,2.17805e-05,2.17805e-05,2.17805e-05
79,31.2911,0.92206,1.40444,1.36782,0.81216,0.48333,0.52275,0.25454,1.7751,2.17105,1.44669,2.11444e-05,2.11444e-05,2.11444e-05
80,31.6641,0.63535,0.61606,1.11911,0.81216,0.48333,0.52275,0.25454,1.7751,2.17105,1.44669,2.04848e-05,2.04848e-05,2.04848e-05
81,32.057,0.79203,0.83016,1.09404,0.8321,0.48303,0.52137,0.25733,1.73135,2.16962,1.43794,1.98016e-05,1.98016e-05,1.98016e-05
82,32.4356,0.45364,0.4592,0.94708,0.8321,0.48303,0.52137,0.25733,1.73135,2.16962,1.43794,1.90949e-05,1.90949e-05,1.90949e-05
83,32.81,0.66646,0.73372,1.02958,0.8321,0.48303,0.52137,0.25733,1.73135,2.16962,1.43794,1.83646e-05,1.83646e-05,1.83646e-05
84,33.2088,0.77105,1.33591,1.23473,0.8402,0.4663,0.52031,0.24359,1.77763,2.20002,1.46179,1.76107e-05,1.76107e-05,1.76107e-05
85,33.5859,0.64016,0.74722,1.18117,0.8402,0.4663,0.52031,0.24359,1.77763,2.20002,1.46179,1.68333e-05,1.68333e-05,1.68333e-05
86,33.9637,0.66271,0.85597,1.17183,0.8402,0.4663,0.52031,0.24359,1.77763,2.20002,1.46179,1.60323e-05,1.60323e-05,1.60323e-05
87,34.337,0.60222,0.66099,1.0992,0.8402,0.4663,0.52031,0.24359,1.77763,2.20002,1.46179,1.52077e-05,1.52077e-05,1.52077e-05
88,34.731,0.7432,0.9759,1.12351,0.84621,0.46564,0.51417,0.26392,1.77464,2.24062,1.47584,1.43596e-05,1.43596e-05,1.43596e-05
89,35.1088,0.66662,0.75309,1.16343,0.84621,0.46564,0.51417,0.26392,1.77464,2.24062,1.47584,1.34879e-05,1.34879e-05,1.34879e-05
90,35.4843,0.79439,0.66542,1.08441,0.84621,0.46564,0.51417,0.26392,1.77464,2.24062,1.47584,1.25927e-05,1.25927e-05,1.25927e-05
91,36.1692,0.56729,0.503,1.05341,0.84621,0.46564,0.51417,0.26392,1.77464,2.24062,1.47584,1.16739e-05,1.16739e-05,1.16739e-05
92,36.6058,0.45847,0.49268,0.8554,0.81548,0.46667,0.50996,0.25012,1.77841,2.23647,1.47512,1.07315e-05,1.07315e-05,1.07315e-05
93,36.9923,0.47363,0.49601,0.95689,0.81548,0.46667,0.50996,0.25012,1.77841,2.23647,1.47512,9.76562e-06,9.76562e-06,9.76562e-06
94,37.3659,0.59046,0.6229,1.11134,0.81548,0.46667,0.50996,0.25012,1.77841,2.23647,1.47512,8.77613e-06,8.77613e-06,8.77613e-06
95,37.7418,0.57384,0.62827,1.08547,0.81548,0.46667,0.50996,0.25012,1.77841,2.23647,1.47512,7.76308e-06,7.76308e-06,7.76308e-06
96,38.134,0.80694,0.7968,1.20102,0.84193,0.46545,0.5154,0.25026,1.72469,2.14631,1.42872,6.72648e-06,6.72648e-06,6.72648e-06
97,38.5087,0.52646,0.47334,0.89634,0.84193,0.46545,0.5154,0.25026,1.72469,2.14631,1.42872,5.6663e-06,5.6663e-06,5.6663e-06
98,38.8895,0.50221,0.63274,0.98178,0.84193,0.46545,0.5154,0.25026,1.72469,2.14631,1.42872,4.58257e-06,4.58257e-06,4.58257e-06
99,39.266,0.54123,0.54534,0.98534,0.84193,0.46545,0.5154,0.25026,1.72469,2.14631,1.42872,3.47528e-06,3.47528e-06,3.47528e-06
100,39.657,0.45735,0.43235,0.93798,0.84324,0.4635,0.52255,0.27364,1.68649,2.01437,1.40521,2.34442e-06,2.34442e-06,2.34442e-06
